DiaGas;Consumo;;;;;
21/6/2024;200;;;;;
22/6/2024;200;;;;;
23/6/2024;200;;;;;
24/6/2024;200;;;;;
25/6/2024;200;;;;;
26/6/2024;200;;;;;
27/6/2024;200;;;;;
28/6/2024;200;;;;;
29/6/2024;200;;;;;
30/6/2024;200;;;;;
1/7/2024;200;;;;;
2/7/2024;200;;;;;
3/7/2024;200;;;;;
4/7/2024;200;;;;;
5/7/2024;200;;;;;
6/7/2024;200;;;;;
7/7/2024;200;;;;;
8/7/2024;200;;;;;
9/7/2024;200;;;;;
10/7/2024;200;;;;;
11/7/2024;200;;;;;
12/7/2024;200;;;;;
13/7/2024;200;;;;;
14/7/2024;200;;;;;
15/7/2024;200;;;;;
16/7/2024;200;;;;;
17/7/2024;200;;;;;
18/7/2024;200;;;;;
19/7/2024;200;;;;;
20/7/2024;200;;;;;
21/7/2024;200;;;;;
22/7/2024;200;;;;;
23/7/2024;200;;;;;
24/7/2024;200;;;;;
25/7/2024;200;;;;;
26/7/2024;200;;;;;
27/7/2024;200;;;;;
28/7/2024;200;;;;;
29/7/2024;200;;;;;
30/7/2024;200;;;;;
31/7/2024;200;;;;;
1/8/2024;200;;;;;
2/8/2024;200;;;;;
3/8/2024;200;;;;;
4/8/2024;200;;;;;
5/8/2024;200;;;;;
6/8/2024;200;;;;;
7/8/2024;200;;;;;
8/8/2024;200;;;;;
9/8/2024;200;;;;;
10/8/2024;200;;;;;
11/8/2024;200;;;;;
12/8/2024;200;;;;;
13/8/2024;200;;;;;
14/8/2024;200;;;;;
15/8/2024;200;;;;;
16/8/2024;200;;;;;
17/8/2024;200;;;;;
18/8/2024;200;;;;;
19/8/2024;200;;;;;
20/8/2024;200;;;;;
21/8/2024;200;;;;;
22/8/2024;200;;;;;
23/8/2024;200;;;;;
24/8/2024;200;;;;;
25/8/2024;200;;;;;
26/8/2024;200;;;;;
27/8/2024;200;;;;;
28/8/2024;200;;;;;
29/8/2024;200;;;;;
30/8/2024;200;;;;;
31/8/2024;200;;;;;
1/9/2024;200;;;;;
2/9/2024;200;;;;;
3/9/2024;200;;;;;
4/9/2024;200;;;;;
5/9/2024;200;;;;;
6/9/2024;200;;;;;
7/9/2024;200;;;;;
8/9/2024;200;;;;;
9/9/2024;200;;;;;
10/9/2024;200;;;;;
11/9/2024;200;;;;;
12/9/2024;200;;;;;
13/9/2024;200;;;;;
14/9/2024;200;;;;;
15/9/2024;200;;;;;
16/9/2024;200;;;;;
17/9/2024;200;;;;;
18/9/2024;200;;;;;
19/9/2024;200;;;;;
20/9/2024;200;;;;;
21/9/2024;200;;;;;
22/9/2024;200;;;;;
23/9/2024;200;;;;;
24/9/2024;200;;;;;
25/9/2024;200;;;;;
26/9/2024;200;;;;;
27/9/2024;200;;;;;
28/9/2024;200;;;;;
29/9/2024;200;;;;;
30/9/2024;200;;;;;
1/10/2024;200;;;;;
2/10/2024;200;;;;;
3/10/2024;200;;;;;
4/10/2024;200;;;;;
5/10/2024;200;;;;;
6/10/2024;200;;;;;
7/10/2024;200;;;;;
8/10/2024;200;;;;;
9/10/2024;200;;;;;
10/10/2024;200;;;;;
11/10/2024;200;;;;;
12/10/2024;200;;;;;
13/10/2024;200;;;;;
14/10/2024;200;;;;;
15/10/2024;200;;;;;
16/10/2024;200;;;;;
17/10/2024;200;;;;;
18/10/2024;200;;;;;
19/10/2024;200;;;;;
20/10/2024;200;;;;;
21/10/2024;200;;;;;
22/10/2024;200;;;;;
23/10/2024;200;;;;;
24/10/2024;200;;;;;
25/10/2024;200;;;;;
26/10/2024;200;;;;;
27/10/2024;200;;;;;
28/10/2024;200;;;;;
29/10/2024;200;;;;;
30/10/2024;200;;;;;
31/10/2024;200;;;;;
1/11/2024;200;;;;;
2/11/2024;200;;;;;
3/11/2024;200;;;;;
4/11/2024;200;;;;;
5/11/2024;200;;;;;
6/11/2024;200;;;;;
7/11/2024;200;;;;;
8/11/2024;200;;;;;
9/11/2024;200;;;;;
10/11/2024;200;;;;;
11/11/2024;200;;;;;
12/11/2024;200;;;;;
13/11/2024;200;;;;;
14/11/2024;200;;;;;
15/11/2024;200;;;;;
16/11/2024;200;;;;;
17/11/2024;200;;;;;
18/11/2024;200;;;;;
19/11/2024;200;;;;;
20/11/2024;200;;;;;
21/11/2024;200;;;;;
22/11/2024;200;;;;;
23/11/2024;200;;;;;
24/11/2024;200;;;;;
25/11/2024;200;;;;;
26/11/2024;200;;;;;
27/11/2024;200;;;;;
28/11/2024;200;;;;;
29/11/2024;200;;;;;
30/11/2024;200;;;;;
1/12/2024;200;;;;;
2/12/2024;200;;;;;
3/12/2024;200;;;;;
4/12/2024;200;;;;;
5/12/2024;200;;;;;
6/12/2024;200;;;;;
7/12/2024;200;;;;;
8/12/2024;200;;;;;
9/12/2024;200;;;;;
10/12/2024;200;;;;;
11/12/2024;200;;;;;
12/12/2024;200;;;;;
13/12/2024;200;;;;;
14/12/2024;200;;;;;
15/12/2024;200;;;;;
16/12/2024;200;;;;;
17/12/2024;200;;;;;
18/12/2024;200;;;;;
19/12/2024;200;;;;;
20/12/2024;200;;;;;
21/12/2024;200;;;;;
22/12/2024;200;;;;;
23/12/2024;200;;;;;
24/12/2024;200;;;;;
25/12/2024;200;;;;;
26/12/2024;200;;;;;
27/12/2024;200;;;;;
28/12/2024;200;;;;;
29/12/2024;200;;;;;
30/12/2024;200;;;;;
31/12/2024;200;;;;;
1/1/2025;200;;;;;
2/1/2025;200;;;;;
3/1/2025;200;;;;;
4/1/2025;200;;;;;
5/1/2025;200;;;;;
6/1/2025;200;;;;;
7/1/2025;200;;;;;
8/1/2025;200;;;;;
9/1/2025;200;;;;;
10/1/2025;200;;;;;
11/1/2025;200;;;;;
12/1/2025;200;;;;;
13/1/2025;200;;;;;
14/1/2025;200;;;;;
15/1/2025;200;;;;;
16/1/2025;200;;;;;
17/1/2025;200;;;;;
18/1/2025;200;;;;;
19/1/2025;200;;;;;
20/1/2025;200;;;;;
21/1/2025;200;;;;;
22/1/2025;200;;;;;
23/1/2025;200;;;;;
24/1/2025;200;;;;;
25/1/2025;200;;;;;
26/1/2025;200;;;;;
27/1/2025;200;;;;;
28/1/2025;200;;;;;
29/1/2025;200;;;;;
30/1/2025;200;;;;;
31/1/2025;200;;;;;
1/2/2025;200;;;;;
2/2/2025;200;;;;;
3/2/2025;200;;;;;
4/2/2025;200;;;;;
5/2/2025;200;;;;;
6/2/2025;200;;;;;
7/2/2025;200;;;;;
8/2/2025;200;;;;;
9/2/2025;200;;;;;
10/2/2025;200;;;;;
11/2/2025;200;;;;;
12/2/2025;200;;;;;
13/2/2025;200;;;;;
14/2/2025;200;;;;;
15/2/2025;200;;;;;
16/2/2025;200;;;;;
17/2/2025;200;;;;;
18/2/2025;200;;;;;
19/2/2025;200;;;;;
20/2/2025;200;;;;;
21/2/2025;200;;;;;
22/2/2025;200;;;;;
23/2/2025;200;;;;;
24/2/2025;200;;;;;
25/2/2025;200;;;;;
26/2/2025;200;;;;;
27/2/2025;200;;;;;
28/2/2025;200;;;;;
1/3/2025;200;;;;;
2/3/2025;200;;;;;
3/3/2025;200;;;;;
4/3/2025;200;;;;;
5/3/2025;200;;;;;
6/3/2025;200;;;;;
7/3/2025;200;;;;;
8/3/2025;200;;;;;
9/3/2025;200;;;;;
10/3/2025;200;;;;;
11/3/2025;200;;;;;
12/3/2025;200;;;;;
13/3/2025;200;;;;;
14/3/2025;200;;;;;
15/3/2025;200;;;;;
16/3/2025;200;;;;;
17/3/2025;200;;;;;
18/3/2025;200;;;;;
19/3/2025;200;;;;;
20/3/2025;200;;;;;
21/3/2025;200;;;;;
22/3/2025;200;;;;;
23/3/2025;200;;;;;
24/3/2025;200;;;;;
25/3/2025;200;;;;;
26/3/2025;200;;;;;
27/3/2025;200;;;;;
28/3/2025;200;;;;;
29/3/2025;200;;;;;
30/3/2025;200;;;;;
31/3/2025;200;;;;;
1/4/2025;200;;;;;
2/4/2025;200;;;;;
3/4/2025;200;;;;;
4/4/2025;200;;;;;
5/4/2025;200;;;;;
6/4/2025;200;;;;;
7/4/2025;200;;;;;
8/4/2025;200;;;;;
9/4/2025;200;;;;;
10/4/2025;200;;;;;
11/4/2025;200;;;;;
12/4/2025;200;;;;;
13/4/2025;200;;;;;
14/4/2025;200;;;;;
15/4/2025;200;;;;;
16/4/2025;200;;;;;
17/4/2025;200;;;;;
18/4/2025;200;;;;;
19/4/2025;200;;;;;
20/4/2025;200;;;;;
21/4/2025;200;;;;;
22/4/2025;200;;;;;
23/4/2025;200;;;;;
24/4/2025;200;;;;;
25/4/2025;200;;;;;
26/4/2025;200;;;;;
27/4/2025;200;;;;;
28/4/2025;200;;;;;
29/4/2025;200;;;;;
30/4/2025;200;;;;;
